Timestamp,Poids (kg)
2025-03-23T00:21:55.366,-618.000
2025-03-23T00:21:55.382,-606.900
2025-03-23T00:21:55.398,-615.780
2025-03-23T00:21:55.414,-615.780
2025-03-23T00:21:55.430,-625.780
2025-03-23T00:21:55.446,-625.780
2025-03-23T00:21:55.462,-626.900
2025-03-23T00:21:55.478,-626.900
2025-03-23T00:21:55.494,-628.000
2025-03-23T00:21:55.511,-628.000
2025-03-23T00:21:55.526,-626.900
2025-03-23T00:21:55.542,-626.900
2025-03-23T00:21:55.558,-625.780
2025-03-23T00:21:55.574,-613.560
2025-03-23T00:21:55.590,-613.560
2025-03-23T00:21:55.606,-613.560
2025-03-23T00:21:55.623,-613.560
2025-03-23T00:21:55.638,-629.680
2025-03-23T00:21:55.655,-629.680
2025-03-23T00:21:55.670,-628.560
2025-03-23T00:21:55.686,-628.560
2025-03-23T00:21:55.702,-610.780
2025-03-23T00:21:55.718,-610.780
2025-03-23T00:21:55.734,-610.780
2025-03-23T00:21:55.750,-610.780
2025-03-23T00:21:55.766,-610.780
2025-03-23T00:21:55.782,-610.780
2025-03-23T00:21:55.798,-620.220
2025-03-23T00:21:55.814,-638.000
2025-03-23T00:21:55.830,-638.000
2025-03-23T00:21:55.846,-638.000
2025-03-23T00:21:55.862,-638.000
2025-03-23T00:21:55.878,-636.900
2025-03-23T00:21:55.894,-636.900
2025-03-23T00:21:55.910,-636.900
2025-03-23T00:21:55.926,-636.900
2025-03-23T00:21:55.942,-628.560
2025-03-23T00:21:55.958,-628.560
2025-03-23T00:21:55.974,-629.680
2025-03-23T00:21:55.990,-629.680
2025-03-23T00:21:56.006,-648.560
2025-03-23T00:21:56.022,652.720
2025-03-23T00:21:56.038,652.720
2025-03-23T00:21:56.054,653.820
2025-03-23T00:21:56.070,653.820
2025-03-23T00:21:56.086,-630.220
2025-03-23T00:21:56.102,-630.220
2025-03-23T00:21:56.118,-624.120
2025-03-23T00:21:56.134,-624.120
2025-03-23T00:21:56.150,-639.680
2025-03-23T00:21:56.166,-639.680
2025-03-23T00:21:56.182,-639.680
2025-03-23T00:21:56.198,-639.680
2025-03-23T00:21:56.214,-639.680
2025-03-23T00:21:56.230,-639.680
2025-03-23T00:21:56.246,-639.680
2025-03-23T00:21:56.262,-639.680
2025-03-23T00:21:56.278,-629.680
2025-03-23T00:21:56.294,-637.440
2025-03-23T00:21:56.310,-637.440
2025-03-23T00:21:56.326,-647.440
2025-03-23T00:21:56.342,-647.440
2025-03-23T00:21:56.358,-630.220
2025-03-23T00:21:56.374,-630.220
